CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1018_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1019_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1020_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1021_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1022_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1023_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1032_65376589_Layer_buggy.h5,354250,354250,4,512,10,576,3,576,3,0,0.0,0.0,7,4,0.5714285714285714,50607.142857142855,0
2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1033_65376589_Layer_buggy.h5,190410,190410,4,512,10,512,2,512,2,0,0.0,0.0,7,4,0.5714285714285714,27201.428571428572,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,117_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,118_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,119_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1209_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,120_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1210_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1211_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1212_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1213_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1214_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1215_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1216_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1217_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1218_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1219_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,121_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1220_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1221_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1222_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1223_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1224_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1225_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1226_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1227_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1228_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1229_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,122_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1230_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1231_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1232_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666667,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,123_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,124_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,125_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,127_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,128_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,129_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,130_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,131_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,132_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1338_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1339_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,133_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1340_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1341_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1342_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
