CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer,Buggy
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1018_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1019_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1020_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1021_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1022_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1023_64634468_Layer_buggy.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0,1
2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1032_65376589_Layer_buggy.h5,354250,354250,4,512,10,576,3,576,3,0,0.0,0.0,7,4,0.5714285714285714,50607.142857142855,0,1
2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1033_65376589_Layer_buggy.h5,190410,190410,4,512,10,512,2,512,2,0,0.0,0.0,7,4,0.5714285714285714,27201.42857142857,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,117_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,118_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
