epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,5.687190055847168,0.007043520454317331,5.474137306213379,0.009806575253605843,0,0,0,0,0,0,1,1,1,1,0,0,False,0.10961854,0.35205117,1.7461249,0.00030598757,0.011026951,0.0009000000427477062,nan,nan,-3.9244995e-05,0.0005376171,13.4,6663.150634765625,9.5
1,5.389965534210205,0.010139147751033306,5.291764259338379,0.01239609345793724,0,0,1,0,1,0,1,1,1,1,0,0,False,0.033813298,0.10798453,0.54388344,0.00088880234,0.0073663406,0.0008100000384729356,nan,nan,-2.4216546e-05,0.00088046445,9.7,6663.150634765625,9.5
2,5.203530311584473,0.012764294631779194,5.133363723754883,0.0160626620054245,0,0,1,0,0,0,1,1,1,1,0,0,False,0.05502662,0.1862074,0.94489646,0.0036070035,0.013214612,0.0007290000503417104,nan,nan,0.0003471079,0.004675303,9.4,6663.150634765625,9.5
3,5.062655448913574,0.014509201049804688,4.9844584465026855,0.01802382804453373,0,0,1,0,0,0,1,1,1,1,0,0,False,0.08729789,0.26669097,1.3636241,0.006922393,0.027698908,0.0006561000715009868,nan,nan,-3.8195963e-06,0.003444027,8.0,6663.150634765625,9.5
4,4.903256893157959,0.018090883269906044,4.862431049346924,0.018217317759990692,0,0,1,0,0,0,1,1,1,1,0,0,False,0.1078591,0.32389498,1.6534475,0.00472627,0.03251401,0.0005904900433961303,nan,nan,-0.0019366202,0.013642051,6.2,6663.150634765625,9.5
5,4.740365028381348,0.020221391692757607,4.678420543670654,0.02155914716422558,0,0,1,0,0,0,1,1,1,1,0,0,False,0.13078299,0.3657971,1.8728969,0.0038624418,0.047778457,0.0005314410547725857,nan,nan,-0.00260525,0.019448943,3.6,6663.150634765625,9.4
6,4.630817890167236,0.021917978301644325,4.530603885650635,0.027356380596756935,0,0,1,0,0,0,1,1,1,1,0,0,False,0.25994465,0.7097634,3.5977857,0.0030938264,0.076514885,0.00047829695977270604,nan,nan,-0.00040302417,0.0033581823,2.2,6663.150634765625,8.7
7,4.528640270233154,0.02717081643640995,4.444072246551514,0.030124610289931297,0,0,1,0,0,0,1,1,1,1,0,0,False,0.43549475,1.3353428,6.753521,0.0021582,0.05714778,0.0004304672533180565,nan,nan,-0.0014763932,0.010793035,1.7,6663.150634765625,8.7
8,4.394398212432861,0.030796686187386513,4.386972427368164,0.03087054006755352,0,0,1,0,0,0,1,1,1,1,0,0,False,0.21152185,0.59175,2.9906433,0.0018339067,0.041600503,0.00038742052274756136,nan,nan,0.0042542084,0.03742071,2.5,6663.150634765625,8.7
9,4.334486961364746,0.03159904479980469,4.28462553024292,0.035376790910959244,0,0,1,0,0,0,1,1,1,1,0,0,False,0.21335967,0.6000563,3.0474243,0.0014193831,0.06370403,0.0003486784757114947,nan,nan,0.00029887373,0.004343023,1.7,6663.150634765625,8.7
