epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.07124173641204834,0.807928204536438,0.04049742966890335,0.8072424530982971,0,0,0,0,0,0,1,1,1,1,0,0,False,0.005599543,0.0064577353,0.037331443,0.0011061506,0.0041371346,0.0009000000427477062,nan,nan,1.9544383e-05,0.0002852159,6.3,3896.534912109375,9.9
1,0.036543939262628555,0.8088806867599487,0.036911092698574066,0.8074257373809814,0,0,1,0,1,0,1,1,1,1,0,0,False,0.00027202762,0.0002744501,0.0015130179,5.2982257e-05,0.00021322278,0.0008100000384729356,nan,nan,-2.966927e-05,0.0002789759,6.2,3978.48193359375,9.7
2,0.03343340381979942,0.8093073964118958,0.032267630100250244,0.8089573979377747,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00020253361,0.0002793977,0.0018501373,2.2748667e-05,0.00015451084,0.0007290000503417104,nan,nan,5.6489353e-05,0.0006199997,6.2,3978.665771484375,9.7
3,0.030006278306245804,0.8100121021270752,0.028796978294849396,0.8091068863868713,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00026106642,0.00036308338,0.0023508905,2.7133192e-05,0.00020645167,0.0006561000715009868,nan,nan,3.5439345e-05,0.0004208495,6.2,4026.947998046875,9.6
4,0.0272831991314888,0.8106139302253723,0.026368912309408188,0.8095512986183167,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00037560196,0.00058238977,0.0033981872,2.9197387e-05,0.00016764668,0.0005904900433961303,nan,nan,2.5763185e-05,0.00030680088,6.2,4026.947998046875,9.7
5,0.02539612166583538,0.8110371828079224,0.025204364210367203,0.8096552491188049,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00032692763,0.0005545924,0.0034634366,1.1986024e-05,0.00015342378,0.0005314410547725857,nan,nan,-0.00013814923,0.0009922332,6.2,4026.947998046875,9.7
6,0.023837687447667122,0.811374306678772,0.023555506020784378,0.8101488351821899,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0008922753,0.0013756483,0.00800561,5.2241103e-05,0.00033691505,0.00047829695977270604,nan,nan,-7.225082e-05,0.00044311455,5.6,4026.947998046875,8.1
7,0.02275106869637966,0.8116208910942078,0.022509891539812088,0.810343861579895,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0004793983,0.0007517713,0.0044130897,1.798909e-05,0.00020387842,0.0004304672533180565,nan,nan,-0.0001256883,0.0012522578,4.6,4026.947998046875,11.6
8,0.021847285330295563,0.8117988705635071,0.022561492398381233,0.8102412223815918,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00054401596,0.0009460484,0.0056331246,2.0372428e-05,0.00020803307,0.00038742052274756136,nan,nan,-0.00025280478,0.0024720442,5.6,4057.796875,14.1
9,0.02110469527542591,0.8119270205497742,0.02274404838681221,0.8101442456245422,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0009992449,0.0016400409,0.009376163,4.99933e-05,0.00033107953,0.0003486784757114947,nan,nan,-0.0003125557,0.00276628,5.7,4057.796875,14.1
10,0.020675787702202797,0.8120489120483398,0.022190773859620094,0.8102938532829285,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0004126881,0.00074960437,0.004650995,1.450116e-05,0.00016791411,0.00031381062290165574,nan,nan,-0.00027351137,0.0024410542,5.7,4057.796875,14.1
11,0.02021360769867897,0.8121227622032166,0.02093040756881237,0.8106725811958313,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00047885007,0.00088541134,0.00521209,1.4473735e-05,0.00014597527,0.0002824295632308349,nan,nan,-0.0001635518,0.0016247102,5.7,4057.796875,14.1
12,0.0196838416159153,0.8122219443321228,0.020528526976704597,0.8108062744140625,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00062181044,0.0013240782,0.008039105,1.08833665e-05,0.0001632141,0.00025418660952709616,nan,nan,-0.00022183156,0.0023400637,5.7,4057.796875,14.0
13,0.019145643338561058,0.8123020529747009,0.020078111439943314,0.810914158821106,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0008376209,0.0015328719,0.008886888,3.6506022e-05,0.00021887742,0.00022876793809700757,nan,nan,-0.0002990694,0.003298521,5.9,4057.796875,14.0
