epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,8.192230224609375,0.0061314902268350124,7.888673305511475,0.0081856120377779,0,0,0,0,0,0,1,1,1,1,0,0,False,0.10400988,0.41639873,2.7015462,0.00040609547,0.018738143,0.0009000000427477062,nan,nan,-1.211835e-05,0.00024193636,11.8,7632.756103515625,9.5
1,7.75355863571167,0.0096893310546875,7.612461090087891,0.011175846680998802,0,0,1,0,1,0,1,1,1,1,0,0,False,0.034722935,0.13651893,0.8987946,0.0016803916,0.0101668015,0.0008100000384729356,nan,nan,-0.00015258166,0.0018275591,7.9,7632.756103515625,9.5
2,7.450531005859375,0.013238906860351562,7.271418571472168,0.015408528968691826,0,0,1,0,1,0,1,1,1,1,0,0,False,0.06576515,0.26731077,1.7718216,0.008763962,0.021815635,0.0007290000503417104,nan,nan,-0.00040066574,0.0037175347,2.7,7632.756103515625,8.7
3,7.118492603302002,0.01808198355138302,7.0119524002075195,0.01789029873907566,0,0,1,0,0,0,1,1,1,1,0,0,False,0.13502479,0.4766403,3.172377,0.007913718,0.045664944,0.0006561000715009868,nan,nan,-0.0009545392,0.011192386,1.8,7632.756103515625,8.7
4,6.839183807373047,0.02139314077794552,6.953373432159424,0.01874365285038948,0,0,1,0,0,0,1,1,1,1,0,0,False,0.12087542,0.47046086,3.1215475,0.0036655455,0.03384262,0.0005904900433961303,nan,nan,-0.0016037199,0.019791083,1.7,7632.756103515625,8.7
5,6.61951208114624,0.025343259796500206,6.500452041625977,0.02781529910862446,0,0,1,0,0,0,1,1,1,1,0,0,False,0.17884712,0.68903023,4.5577607,0.0032065315,0.032232165,0.0005314410547725857,nan,nan,0.00071583514,0.010511214,1.8,7632.756103515625,8.7
6,6.378952980041504,0.0304412841796875,6.2389984130859375,0.034788478165864944,0,0,1,0,1,0,1,1,1,1,0,0,False,0.1600441,0.54072684,3.5755224,0.0028800375,0.038969956,0.00047829695977270604,nan,nan,0.00021369044,0.0030256116,1.4,7632.756103515625,7.7
7,6.233791828155518,0.03257529065012932,6.125607967376709,0.036401040852069855,0,0,1,0,0,0,1,1,1,1,0,0,False,0.09690118,0.34203008,2.268702,0.0017222388,0.028855164,0.0004304672533180565,nan,nan,-0.0005687416,0.005463091,5.9,7632.756103515625,9.8
8,6.073210716247559,0.03744443133473396,6.209903717041016,0.028756476938724518,0,0,1,0,0,0,1,1,1,1,0,0,False,0.2825768,0.9365001,6.1463146,0.0014402486,0.045215473,0.00038742052274756136,nan,nan,0.0030204866,0.040365584,13.7,7632.756103515625,9.8
9,5.98067045211792,0.03819084167480469,5.8755717277526855,0.044056348502635956,0,0,1,0,0,0,1,1,1,1,0,0,False,0.23067254,0.7629342,5.0371404,0.0015608058,0.06093622,0.0003486784757114947,nan,nan,-0.00044332125,0.0069335215,13.7,7632.756103515625,9.8
10,5.812427997589111,0.04596392437815666,5.830529689788818,0.040444109588861465,0,0,1,0,0,0,1,1,1,1,0,0,False,0.300484,0.9249264,6.0523505,0.0010750338,0.050704643,0.00031381062290165574,nan,nan,0.0018884884,0.023842301,13.7,7632.756103515625,9.9
11,5.784116268157959,0.0441538505256176,5.680377960205078,0.05145394057035446,0,0,1,0,0,0,1,1,1,1,0,0,False,0.15089731,0.41983572,2.77808,0.0010813372,0.057894304,0.0002824295632308349,nan,nan,-2.269691e-05,0.002149446,13.8,7632.756103515625,9.9
12,5.695987701416016,0.048498790711164474,5.705414295196533,0.04476581886410713,0,0,1,0,0,0,1,1,1,1,0,0,False,0.086178124,0.26969847,1.7897724,0.001398054,0.030784706,0.00025418660952709616,nan,nan,-0.0020986986,0.026650283,13.8,7632.756103515625,9.9
13,5.615025043487549,0.05185413360595703,5.58744478225708,0.05368082597851753,0,0,1,0,0,0,1,1,1,1,0,0,False,0.07237754,0.21756424,1.4372437,0.0012888671,0.026224198,0.00022876793809700757,nan,nan,-0.0013217821,0.017127212,13.7,7632.756103515625,9.9
14,5.5417704582214355,0.05619017407298088,5.553556442260742,0.0529751293361187,0,0,1,0,0,0,1,1,1,1,0,0,False,0.10267314,0.28969413,1.9037228,0.0010590224,0.033683818,0.00020589114428730683,nan,nan,-0.0018711822,0.024077091,13.7,7632.756103515625,9.9
15,5.4783124923706055,0.059042930603027344,5.449620723724365,0.062398046255111694,0,0,1,0,0,0,1,1,1,1,0,0,False,0.08578896,0.24128449,1.5871757,0.0009906483,0.024793148,0.00018530203378759326,nan,nan,-0.00036544024,0.004593875,13.7,7632.756103515625,9.9
16,5.424821853637695,0.06237983703613281,5.409659385681152,0.06444427371025085,0,0,1,0,0,0,1,1,1,1,0,0,False,0.0711587,0.20108165,1.3289474,0.00084929564,0.025346894,0.00016677183302817866,nan,nan,-0.0006793442,0.00836138,13.7,7632.756103515625,9.9
17,5.374184608459473,0.06505712121725082,5.401934623718262,0.05905488133430481,0,0,1,0,0,0,1,1,1,1,0,0,False,0.28989083,0.7845912,5.0580525,0.001224554,0.06035257,0.00015009464841568844,nan,nan,0.0018261259,0.023308108,13.7,7632.756103515625,9.9
18,5.358468055725098,0.06325022131204605,5.3355631828308105,0.06787864863872528,0,0,1,0,0,0,1,1,1,1,0,0,False,0.13357335,0.34377176,2.2505581,0.00131658,0.050233096,0.0001350851875031367,nan,nan,5.8469628e-05,0.0016906147,13.7,7632.756103515625,9.9
19,5.323334693908691,0.06794484704732895,5.317417144775391,0.06743229180574417,0,0,1,0,0,0,1,1,1,1,0,0,False,0.14488102,0.40186226,2.6201007,0.00065862644,0.035173886,0.00012157666351413355,nan,nan,0.0009275595,0.01264791,13.7,7632.756103515625,9.9
20,5.286921977996826,0.07183265686035156,5.281717777252197,0.07166637480258942,0,0,1,0,0,0,1,1,1,1,0,0,False,0.09948676,0.2554243,1.6640478,0.00095791824,0.034884818,0.00010941899454337544,nan,nan,-0.00026989105,0.0037110287,13.7,7632.756103515625,9.9
21,5.257630348205566,0.07378800958395004,5.257713794708252,0.0727376937866211,0,0,1,0,0,0,1,1,1,1,0,0,False,0.07569894,0.21112043,1.3909048,0.00077316817,0.025005586,9.847709443420172e-05,nan,nan,0.00023232414,0.0033964035,13.8,7632.756103515625,9.9
22,5.242596626281738,0.07474104315042496,5.236818790435791,0.07532978802919388,0,0,1,0,0,0,1,1,1,1,0,0,False,0.13369678,0.34951538,2.2623205,0.0010148523,0.039247584,8.862938630045391e-05,nan,nan,-0.0005554813,0.007340064,13.7,7632.756103515625,9.9
23,5.213319778442383,0.07666365057229996,5.215972900390625,0.07671806961297989,0,0,1,0,0,0,1,1,1,1,0,0,False,0.0747256,0.20322606,1.3318388,0.00097386143,0.025946938,7.976644701557234e-05,nan,nan,4.749342e-08,0.0008156878,13.7,7632.756103515625,9.9
24,5.1906938552856445,0.07766532897949219,5.199373245239258,0.07790185511112213,0,0,1,0,0,0,1,1,1,1,0,0,False,0.075196624,0.20124698,1.3131479,0.0009217095,0.026826834,7.178980231401511e-05,nan,nan,-0.00038856972,0.0049327575,13.7,7632.756103515625,9.9
